EDGE_ID,FROM_ID,TO_ID,NAME,PRIORITY,TYPE
-112607431,1279569200,1279569283,,2,highway.service
-112607432,1611236950,62662438,,2,highway.service
-116751762#0,cluster_1653894147_1653894156,1315430002,,2,highway.service
-116751762#1,cluster_1653894157_1653894196,cluster_1653894147_1653894156,,2,highway.service
-116751762#3,cluster_1653894113_1821439319,cluster_1653894157_1653894196,,2,highway.service
-116751762#5,1653894220,cluster_1653894113_1821439319,,2,highway.service
-116751762#6,1653894214,1653894220,,2,highway.service
-116751762#7,cluster_1653894066_1653894212,1653894214,,2,highway.service
-116751762#9,1315429998,cluster_1653894066_1653894212,,2,highway.service
-116751771,1315430035,1315430018,,2,highway.service
-116751807#0,1653907260,1315430002,,2,highway.service
-116751807#1,616067777,1653907260,,2,highway.service
-116751826,1315430082,1315429995,,2,highway.service
-116751846#0,1653894219,1315429913,,2,highway.service
-116751846#1,1653894072,1653894219,,2,highway.service
-116751846#10,1653894167,1653894213,,2,highway.service
-116751846#11,1315430035,1653894167,,2,highway.service
-116751846#2,1653894158,1653894072,,2,highway.service
-116751846#3,1653894126,1653894158,,2,highway.service
-116751846#4,1653894153,1653894126,,2,highway.service
-116751846#5,1653894165,1653894153,,2,highway.service
-116751846#6,1653894161,1653894165,,2,highway.service
-116751846#7,1653894110,1653894161,,2,highway.service
-116751846#8,1653894152,1653894110,,2,highway.service
-116751846#9,1653894213,1653894152,,2,highway.service
-116751847,1315430037,1315429998,,2,highway.service
-116751850#0,1653907239,1315430001,,2,highway.service
-116751850#1,1653907234,1653907239,,2,highway.service
-116751850#2,1653907149,1653907234,,2,highway.service
-116751850#3,1653907204,1653907149,,2,highway.service
-116751850#4,1653907236,1653907204,,2,highway.service
-116751850#5,1653907195,1653907236,,2,highway.service
-116751850#6,1315429995,1653907195,,2,highway.service
-116751867#0,1653907192,616067787,,2,highway.service
-116751867#1,1653907101,1653907192,,2,highway.service
-116751867#2,616067790,1653907101,,2,highway.service
-116751873,1315429998,1315430035,,2,highway.service
-116751892#0,1653894208,616067787,,2,highway.service
-116751892#1,1653894160,1653894208,,2,highway.service
-116751892#2,1653907098,1653894160,,2,highway.service
-116751892#3,1653894070,1653907098,,2,highway.service
-116751892#4,1315430002,1653894070,,2,highway.service
-116751898,1315430085,1315430082,,2,highway.service
-116751900,1653907067,1315429995,,2,highway.service
-116751904,1315430074,62549855,,2,highway.service
