JUNCT_ID,X,Y,TYPE
,,,
,,,
1279569195,6459.20,11246.37,right_before_left
1279569200,6482.72,11311.10,right_before_left
1279569283,6451.46,11322.38,priority
1279569297,6428.30,11257.52,priority
1315429913,3535.57,10482.72,priority
1315429976,3672.77,10201.83,priority
1315429977,3667.24,9850.76,priority
1315429987,3859.17,10484.89,priority
1315429995,3669.85,10001.25,right_before_left
1315429998,3780.75,10399.90,right_before_left
1315430001,3446.51,10013.04,priority
1315430002,3630.53,10349.87,right_before_left
1315430004,3526.44,10107.69,priority
1315430011,3648.59,10188.88,right_before_left
1315430018,3779.89,10614.80,right_before_left
1315430021,3660.94,10195.71,priority
1315430035,3780.10,10484.36,right_before_left
1315430037,3805.22,10353.49,priority
1315430057,3638.65,10182.28,priority
1315430074,3586.22,10108.09,right_before_left
1315430082,3670.83,10106.37,right_before_left
1315430085,3672.44,10117.37,right_before_left
1315585300,6638.58,11662.66,priority
1315585323,6595.93,11544.29,priority
1315585434,6682.26,11784.29,priority
1315585555,6039.89,11626.85,priority
1315585594,6790.46,11877.40,priority
1315585729,5996.46,11541.13,priority
1315585735,5854.25,11499.25,right_before_left
1315585846,6039.80,11541.21,priority
1315585975,5803.17,11450.20,priority
1316621591,4390.61,10241.10,dead_end
1348330387,3436.40,11309.40,priority
1348330475,3582.79,11375.93,right_before_left
1348330543,3437.05,11221.95,priority
1348330732,3603.89,11307.76,right_before_left
1348330734,3518.06,11425.88,priority
1348330779,3587.02,11454.52,priority
1348330796,3603.32,11415.08,priority
1348330829,3604.08,11375.76,right_before_left
1348330970,3511.06,11376.40,priority
1348331132,3300.10,11456.41,priority
1348331226,3599.65,11211.60,priority
1348331244,3938.79,11452.99,priority
1350502043,4224.30,15353.83,priority
1350502045,4076.43,11758.51,priority
1350502088,4022.96,14159.48,priority
1350502092,4236.29,15477.41,priority
1350502109,4249.61,15729.75,priority
1350502112,4245.01,15561.10,priority
1350502134,4212.76,15258.23,priority
1350502137,4062.47,14153.65,priority
1350585527,6351.32,11046.59,priority
1350585542,6379.89,11121.93,priority
1351562667,4903.26,16894.39,priority
1351562671,6779.60,15326.35,priority
1351562688,6781.53,15343.04,priority
1351562700,6777.12,15307.11,priority
1352537066,6234.60,14107.60,rail_crossing
1352537073,5182.20,9967.18,priority
1352537076,6554.26,15326.88,priority
1352537077,6194.82,13883.71,priority
1352537084,5200.40,10008.92,priority
1352537090,6494.30,15101.97,rail_crossing
1352537092,5348.32,10617.66,priority
1352537095,6142.35,13643.62,dead_end
1352537102,6476.49,14396.73,right_before_left
1352537103,6477.35,14355.48,priority
1352537111,6399.88,14487.46,priority
1352537117,6297.99,14352.36,rail_crossing
1352537123,5192.71,9991.53,priority
1352537130,5342.76,10562.67,dead_end
1352537132,6375.11,14394.64,priority
1352537138,6506.49,14489.60,priority
1352537139,5345.62,10590.92,priority
1352537146,5169.77,9937.91,priority
1352537180,6544.60,15291.52,priority
1352537204,5159.66,9909.20,priority
1352537214,5351.34,10645.06,priority
1514515900,6543.44,14452.14,priority
1514515997,6630.30,14715.49,priority
1514515999,6544.59,14356.62,priority
1514516027,6604.64,14533.26,priority
1514516049,6615.35,14597.01,priority
